Individual,Block,Strain,Replicate,Cell,Environment,Sex,Focal haplotype,Social haplotype,Mortality,Social Survival,Development time (hrs),Wing size (mm),Day emerged,Hours from lights on,Female offspring,Male offspring,Total female assay,Male red 1,Female red 1,Total red vial 1,Male bw 1,Female bw 1,Total bw vial 1,Proportion red vial 1,Male red 2,Female red 2,Total red vial 2,Male bw 2,Female bw 2,Total bw vial 2,Proportion red vial 2,Total red all vials,Total bw all vials,Proportion red all vials
1166,4,Brownsville 1,24,8,8,M,Brownsville,Dahomey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1167,4,Israel 1,24,9,8,F,Israel,Brownsville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1168,4,Brownsville 1,24,9,8,M,Brownsville,Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1169,4,Sweden 1,24,10,8,F,Sweden,Brownsville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,4,Brownsville 1,24,10,8,M,Brownsville,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1171,4,Barcelona 1,24,11,8,F,Barcelona,Dahomey,N,P,245,1.084,10,7,26,33,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1172,4,Dahomey 1,24,11,8,M,Dahomey,Barcelona,P,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1173,4,Brownsville 1,24,12,8,F,Brownsville,Dahomey,L,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1174,4,Dahomey 1,24,12,8,M,Dahomey,Brownsville,N,L,NA,0.995,NA,NA,NA,NA,NA,10,13,23,1,0,1,0.958333333,0,0,0,0,0,0,0,23,1,0.958333333
1175,4,Dahomey 1,24,13,8,F,Dahomey,Dahomey,N,N,NA,1.13,NA,NA,26,25,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1176,4,Dahomey 1,24,13,8,M,Dahomey,Dahomey,N,N,264,NA,11,2,NA,NA,NA,0,0,0,17,22,39,0,0,0,0,1,0,1,0,0,40,0
