Individual,Block,Strain,Replicate,Cell,Environment,Sex,Focal haplotype,Social haplotype,Mortality,Social Survival,Development time (hrs),Wing size (mm),Day emerged,Hours from lights on,Female offspring,Male offspring,Total female assay,Male red 1,Female red 1,Total red vial 1,Male bw 1,Female bw 1,Total bw vial 1,Proportion red vial 1,Male red 2,Female red 2,Total red vial 2,Male bw 2,Female bw 2,Total bw vial 2,Proportion red vial 2,Total red all vials,Total bw all vials,Proportion red all vials
1,1,Barcelona 1,1,1,1,F,Barcelona,Barcelona,N,L,NA,NA,NA,NA,35,24,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,Barcelona 1,1,1,1,M,Barcelona,Barcelona,L,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
3,1,Brownsville 1,1,2,1,F,Brownsville,Barcelona,N,N,249,NA,10,11,36,45,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,Barcelona 1,1,2,1,M,Barcelona,Brownsville,N,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,14,27,41,0,0,0,0,0,0,0,0,0,41,0
5,1,Dahomey 1,1,3,1,F,Dahomey,Barcelona,N,N,249,NA,10,11,17,23,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,Barcelona 1,1,3,1,M,Barcelona,Dahomey,N,N,242,NA,10,4,NA,NA,NA,11,15,26,0,0,0,1,9,7,16,0,0,0,1,42,0,1
7,1,Israel 1,1,4,1,F,Israel,Barcelona,N,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,Barcelona 1,1,4,1,M,Barcelona,Israel,N,N,242,NA,10,4,NA,NA,NA,2,2,4,9,17,26,0.133333333,16,12,28,0,0,0,1,32,26,0.551724138
9,1,Sweden 1,1,5,1,F,Sweden,Barcelona,N,N,NA,NA,NA,NA,7,15,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,Barcelona 1,1,5,1,M,Barcelona,Sweden,N,N,267,NA,11,5,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,Barcelona 1,1,6,1,F,Barcelona,Brownsville,P,P,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,Brownsville 1,1,6,1,M,Brownsville,Barcelona,P,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
13,1,Brownsville 1,1,7,1,F,Brownsville,Brownsville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,Brownsville 1,1,7,1,M,Brownsville,Brownsville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,Dahomey 1,1,8,1,F,Dahomey,Brownsville,N,N,242,NA,10,4,23,31,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,Brownsville 1,1,8,1,M,Brownsville,Dahomey,N,N,245,NA,10,7,NA,NA,NA,0,0,0,23,39,62,0,0,0,0,0,1,1,0,0,63,0
17,1,Israel 1,1,9,1,F,Israel,Brownsville,N,N,243,NA,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,Brownsville 1,1,9,1,M,Brownsville,Israel,N,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,Sweden 1,1,10,1,F,Sweden,Brownsville,N,L,266,NA,11,4,26,39,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,Brownsville 1,1,10,1,M,Brownsville,Sweden,L,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
21,1,Barcelona 1,1,11,1,F,Barcelona,Dahomey,N,N,NA,NA,NA,NA,8,21,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,Dahomey 1,1,11,1,M,Dahomey,Barcelona,N,N,267,NA,11,5,NA,NA,NA,5,1,6,13,12,25,0.193548387,2,3,5,0,1,1,0.833333333,11,26,0.297297297
23,1,Brownsville 1,1,12,1,F,Brownsville,Dahomey,N,N,242,NA,10,4,11,22,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,Dahomey 1,1,12,1,M,Dahomey,Brownsville,N,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,4,6,0,0,0,0,2,5,7,0,0,13,0
25,1,Dahomey 1,1,13,1,F,Dahomey,Dahomey,N,N,265,NA,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,Dahomey 1,1,13,1,M,Dahomey,Dahomey,N,N,NA,NA,NA,NA,NA,NA,NA,35,1,36,0,0,0,1,47,45,92,0,0,0,1,128,0,1
27,1,Israel 1,1,14,1,F,Israel,Dahomey,L,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,Dahomey 1,1,14,1,M,Dahomey,Israel,N,L,248,NA,10,10,NA,NA,NA,46,45,91,0,0,0,1,28,44,72,0,0,0,1,163,0,1
29,1,Sweden 1,1,15,1,F,Sweden,Dahomey,N,N,245,NA,10,7,16,27,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1,Dahomey 1,1,15,1,M,Dahomey,Sweden,N,N,248,NA,10,10,NA,NA,NA,47,28,75,0,0,0,1,15,15,30,0,0,0,1,105,0,1
31,1,Barcelona 1,1,16,1,F,Barcelona,Israel,L,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,Israel 1,1,16,1,M,Israel,Barcelona,N,L,249,NA,10,11,NA,NA,NA,9,16,25,11,5,16,0.609756098,0,0,0,6,3,9,0,25,25,0.5
33,1,Brownsville 1,1,17,1,F,Brownsville,Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,Israel 1,1,17,1,M,Israel,Brownsville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,Dahomey 1,1,18,1,F,Dahomey,Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,Israel 1,1,18,1,M,Israel,Dahomey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,Israel 1,1,19,1,F,Israel,Israel,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,Israel 1,1,19,1,M,Israel,Israel,N,NA,243,NA,10,5,NA,NA,NA,0,0,0,22,26,48,0,0,0,0,4,6,10,0,0,58,0
39,1,Sweden 1,1,20,1,F,Sweden,Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,Israel 1,1,20,1,M,Israel,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,Barcelona 1,1,21,1,F,Barcelona,Sweden,N,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1,Sweden 1,1,21,1,M,Sweden,Barcelona,N,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,Brownsville 1,1,22,1,F,Brownsville,Sweden,N,N,270,NA,11,8,31,22,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1,Sweden 1,1,22,1,M,Sweden,Brownsville,N,N,267,NA,11,5,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,Dahomey 1,1,23,1,F,Dahomey,Sweden,N,N,NA,NA,NA,NA,23,32,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1,Sweden 1,1,23,1,M,Sweden,Dahomey,N,N,242,NA,10,4,NA,NA,NA,0,0,0,20,28,48,0,0,0,0,2,2,4,0,0,52,0
47,1,Israel 1,1,24,1,F,Israel,Sweden,N,N,NA,NA,NA,NA,18,22,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1,Sweden 1,1,24,1,M,Sweden,Israel,N,N,NA,NA,NA,NA,NA,NA,NA,41,35,76,0,0,0,1,7,8,15,6,8,14,0.517241379,91,14,0.866666667
49,1,Sweden 1,1,25,1,F,Sweden,Sweden,N,N,273,NA,11,11,18,19,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,1,Sweden 1,1,25,1,M,Sweden,Sweden,N,N,NA,NA,NA,NA,NA,NA,NA,24,20,44,0,0,0,1,11,13,24,2,2,4,0.857142857,68,4,0.944444444
51,1,Barcelona 1,2,1,1,F,Barcelona,Barcelona,L,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1,Barcelona 1,2,1,1,M,Barcelona,Barcelona,N,L,245,NA,10,7,NA,NA,NA,37,43,80,0,0,0,1,28,30,58,0,0,0,1,138,0,1
53,1,Brownsville 1,2,2,1,F,Brownsville,Barcelona,N,N,269,NA,11,7,9,17,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1,Barcelona 1,2,2,1,M,Barcelona,Brownsville,N,N,269,NA,11,7,NA,NA,NA,29,30,59,0,0,0,1,7,8,15,0,0,0,1,74,0,1
55,1,Dahomey 1,2,3,1,F,Dahomey,Barcelona,N,N,267,NA,11,5,25,19,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1,Barcelona 1,2,3,1,M,Barcelona,Dahomey,N,N,283,NA,11,21,NA,NA,NA,0,0,0,16,8,24,0,0,0,0,1,0,1,0,0,25,0
57,1,Israel 1,2,4,1,F,Israel,Barcelona,P,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1,Barcelona 1,2,4,1,M,Barcelona,Israel,N,P,288,NA,12,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,Sweden 1,2,5,1,F,Sweden,Barcelona,N,N,283,NA,11,21,28,19,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,1,Barcelona 1,2,5,1,M,Barcelona,Sweden,N,N,283,NA,11,21,NA,NA,NA,12,16,28,26,17,43,0.394366197,21,21,42,2,1,3,0.933333333,70,46,0.603448276
61,1,Barcelona 1,2,6,1,F,Barcelona,Brownsville,N,N,269,NA,11,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,1,Brownsville 1,2,6,1,M,Brownsville,Barcelona,N,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,18,11,29,0,0,0,0,1,2,3,0,0,32,0
63,1,Brownsville 1,2,7,1,F,Brownsville,Brownsville,N,N,NA,NA,NA,NA,27,22,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,1,Brownsville 1,2,7,1,M,Brownsville,Brownsville,N,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,Dahomey 1,2,8,1,F,Dahomey,Brownsville,N,P,270,NA,11,8,13,16,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1,Brownsville 1,2,8,1,M,Brownsville,Dahomey,P,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
67,1,Israel 1,2,9,1,F,Israel,Brownsville,N,N,273,NA,11,11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,1,Brownsville 1,2,9,1,M,Brownsville,Israel,N,N,270,NA,11,8,NA,NA,NA,0,0,0,13,28,41,0,0,0,0,7,4,11,0,0,52,0
69,1,Sweden 1,2,10,1,F,Sweden,Brownsville,N,N,269,NA,11,7,9,10,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,1,Brownsville 1,2,10,1,M,Brownsville,Sweden,N,N,271,NA,11,9,NA,NA,NA,0,0,0,1,11,12,0,0,0,0,6,3,9,0,0,21,0
71,1,Barcelona 1,2,11,1,F,Barcelona,Dahomey,N,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,1,Dahomey 1,2,11,1,M,Dahomey,Barcelona,N,N,269,NA,11,7,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1,Brownsville 1,2,12,1,F,Brownsville,Dahomey,N,N,243,NA,10,5,18,29,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,1,Dahomey 1,2,12,1,M,Dahomey,Brownsville,N,N,248,NA,10,10,NA,NA,NA,0,0,0,7,28,35,0,0,0,0,5,9,14,0,0,49,0
75,1,Dahomey 1,2,13,1,F,Dahomey,Dahomey,P,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1,Dahomey 1,2,13,1,M,Dahomey,Dahomey,N,P,251,NA,10,13,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,Israel 1,2,14,1,F,Israel,Dahomey,N,N,NA,NA,NA,NA,35,20,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,1,Dahomey 1,2,14,1,M,Dahomey,Israel,N,N,248,NA,10,10,NA,NA,NA,26,28,54,4,3,7,0.885245902,13,14,27,1,0,1,0.964285714,81,8,0.91011236
79,1,Sweden 1,2,15,1,F,Sweden,Dahomey,L,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,1,Dahomey 1,2,15,1,M,Dahomey,Sweden,N,L,274,NA,11,12,NA,NA,NA,0,1,1,12,11,23,0.041666667,0,0,0,0,0,0,0,1,23,0.041666667
81,1,Barcelona 1,2,16,1,F,Barcelona,Israel,P,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,1,Israel 1,2,16,1,M,Israel,Barcelona,N,P,269,NA,11,7,NA,NA,NA,0,0,0,10,28,38,0,0,0,0,2,15,17,0,0,55,0
83,1,Brownsville 1,2,17,1,F,Brownsville,Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,1,Israel 1,2,17,1,M,Israel,Brownsville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,1,Dahomey 1,2,18,1,F,Dahomey,Israel,P,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1,Israel 1,2,18,1,M,Israel,Dahomey,N,P,267,NA,11,5,NA,NA,NA,45,65,110,0,0,0,1,54,36,90,0,0,0,1,200,0,1
87,1,Israel 1,2,19,1,F,Israel,Israel,L,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,1,Israel 1,2,19,1,M,Israel,Israel,N,L,248,NA,10,10,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,Sweden 1,2,20,1,F,Sweden,Israel,N,N,288,NA,12,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,1,Israel 1,2,20,1,M,Israel,Sweden,N,N,270,NA,11,8,NA,NA,NA,13,8,21,19,17,36,0.368421053,1,0,1,2,11,13,0.071428571,22,49,0.309859155
91,1,Barcelona 1,2,21,1,F,Barcelona,Sweden,N,N,NA,NA,NA,NA,19,34,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,1,Sweden 1,2,21,1,M,Sweden,Barcelona,N,N,NA,NA,NA,NA,NA,NA,NA,30,22,52,0,0,0,1,7,16,23,0,0,0,1,75,0,1
93,1,Brownsville 1,2,22,1,F,Brownsville,Sweden,N,N,267,NA,11,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,1,Sweden 1,2,22,1,M,Sweden,Brownsville,N,N,NA,NA,NA,NA,NA,NA,NA,18,28,46,1,1,2,0.958333333,24,34,58,0,0,0,1,104,2,0.981132075
95,1,Dahomey 1,2,23,1,F,Dahomey,Sweden,P,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,1,Sweden 1,2,23,1,M,Sweden,Dahomey,N,P,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,Israel 1,2,24,1,F,Israel,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,1,Sweden 1,2,24,1,M,Sweden,Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,1,Sweden 1,2,25,1,F,Sweden,Sweden,L,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1,Sweden 1,2,25,1,M,Sweden,Sweden,N,L,NA,NA,NA,NA,NA,NA,NA,9,25,34,0,0,0,1,8,5,13,0,0,0,1,47,0,1
101,1,Barcelona 1,3,1,1,F,Barcelona,Barcelona,N,N,249,NA,10,11,23,27,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,1,Barcelona 1,3,1,1,M,Barcelona,Barcelona,N,N,249,NA,10,11,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,Brownsville 1,3,2,1,F,Brownsville,Barcelona,N,N,269,NA,11,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,1,Barcelona 1,3,2,1,M,Barcelona,Brownsville,N,N,NA,NA,NA,NA,NA,NA,NA,30,44,74,6,4,10,0.880952381,33,34,67,2,3,5,0.930555556,141,15,0.903846154
105,1,Dahomey 1,3,3,1,F,Dahomey,Barcelona,N,N,246,NA,10,8,22,21,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,1,Barcelona 1,3,3,1,M,Barcelona,Dahomey,N,N,NA,NA,NA,NA,NA,NA,NA,2,0,2,11,16,27,0.068965517,1,0,1,0,0,0,1,3,27,0.1
107,1,Israel 1,3,4,1,F,Israel,Barcelona,L,L,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,1,Barcelona 1,3,4,1,M,Barcelona,Israel,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
109,1,Sweden 1,3,5,1,F,Sweden,Barcelona,N,N,NA,NA,NA,NA,8,8,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1,Barcelona 1,3,5,1,M,Barcelona,Sweden,N,N,NA,NA,NA,NA,NA,NA,NA,10,1,11,0,0,0,1,0,0,0,4,6,10,0,11,10,0.523809524
111,1,Barcelona 1,3,6,1,F,Barcelona,Brownsville,N,L,NA,NA,NA,NA,20,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,1,Brownsville 1,3,6,1,M,Brownsville,Barcelona,L,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
113,1,Brownsville 1,3,7,1,F,Brownsville,Brownsville,N,P,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1,Brownsville 1,3,7,1,M,Brownsville,Brownsville,P,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
115,1,Dahomey 1,3,8,1,F,Dahomey,Brownsville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,1,Brownsville 1,3,8,1,M,Brownsville,Dahomey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,1,Israel 1,3,9,1,F,Israel,Brownsville,N,P,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,1,Brownsville 1,3,9,1,M,Brownsville,Israel,P,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
119,1,Sweden 1,3,10,1,F,Sweden,Brownsville,N,L,NA,NA,NA,NA,51,50,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1,Brownsville 1,3,10,1,M,Brownsville,Sweden,L,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
121,1,Barcelona 1,3,11,1,F,Barcelona,Dahomey,N,N,248,NA,10,10,22,18,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,1,Dahomey 1,3,11,1,M,Dahomey,Barcelona,N,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,6,5,11,0,0,0,0,0,0,0,0,0,11,0
123,1,Brownsville 1,3,12,1,F,Brownsville,Dahomey,N,L,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,1,Dahomey 1,3,12,1,M,Dahomey,Brownsville,L,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
125,1,Dahomey 1,3,13,1,F,Dahomey,Dahomey,N,N,NA,NA,NA,NA,23,22,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,1,Dahomey 1,3,13,1,M,Dahomey,Dahomey,N,N,274,NA,11,12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1,Israel 1,3,14,1,F,Israel,Dahomey,N,N,274,NA,11,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,1,Dahomey 1,3,14,1,M,Dahomey,Israel,N,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,20,27,47,0,0,0,0,1,0,1,0,0,48,0
129,1,Sweden 1,3,15,1,F,Sweden,Dahomey,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,1,Dahomey 1,3,15,1,M,Dahomey,Sweden,N,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,36,39,75,0,0,0,0,11,9,20,0,0,95,0
131,1,Barcelona 1,3,16,1,F,Barcelona,Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,1,Israel 1,3,16,1,M,Israel,Barcelona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,1,Brownsville 1,3,17,1,F,Brownsville,Israel,L,L,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,1,Israel 1,3,17,1,M,Israel,Brownsville,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
135,1,Dahomey 1,3,18,1,F,Dahomey,Israel,L,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,1,Israel 1,3,18,1,M,Israel,Dahomey,N,L,NA,NA,NA,NA,NA,NA,NA,51,28,79,0,0,0,1,4,11,15,0,0,0,1,94,0,1
137,1,Israel 1,3,19,1,F,Israel,Israel,N,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,1,Israel 1,3,19,1,M,Israel,Israel,P,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
139,1,Sweden 1,3,20,1,F,Sweden,Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
